order_id,customer_id,date,amount,currency
1058,491,06/09/2025,162.22,usd
1059,252,2025-09-06,26.15,usd
1060,221,20250906,101.9,EUR
1061,86,07/09/2025,165.53,EUR
1062,194,2025-09-07,226.04,EUR
1063,169,2025-09-07,212.32,usd
1064,204,20250907,65.3,EUR
1065,128,2025-09-07,242.46,EUR
1066,459,20250907,93.39,EUR
1067,154,07/09/2025,226.59,EUR
1068,65,07/09/2025,233.19,EUR
1069,238,20250907,157.81,EUR
1070,318,07/09/2025,104.78,EUR
1071,71,2025-09-07,92.78,usd
1072,172,07/09/2025,92.56,EUR
1073,256,07/09/2025,128.11,EUR
1074,441,20250907,162.76,EUR
1075,94,07/09/2025,78.16,usd
1076,10,2025-09-07,189.39,EUR
1077,305,07/09/2025,39.36,EUR
1078,139,07/09/2025,100.68,EUR
1079,226,07/09/2025,227.94,EUR
1080,210,20250908,234.45,EUR
1081,327,08/09/2025,159.22,EUR
1081,327,08/09/2025,159.22,EUR
1082,216,2025-09-08,53.5,EUR
1083,138,08/09/2025,39.57,EUR
1084,444,2025-09-08,9.75,EUR
1085,226,08/09/2025,56.49,EUR
1086,194,08/09/2025,176.35,usd
1087,127,20250908,16.32,EUR
1088,291,20250908,163.74,usd
1089,389,08/09/2025,24.81,usd
1090,109,20250908,65.35,EUR
1091,196,2025-09-09,179.37,EUR
1092,428,20250909,32.14,EUR
1093,467,20250909,247.03,EUR
1094,247,20250909,117.51,EUR
1095,368,20250909,170.76,usd
1096,266,20250909,93.47,EUR
1097,170,2025-09-09,67.51,EUR
1098,92,10/09/2025,141.61,usd
1099,129,2025-09-10,248.49,EUR
1100,154,2025-09-10,82.46,EUR
1101,71,20250910,66.79,EUR
1102,413,10/09/2025,83.33,EUR
1103,385,2025-09-10,113.11,EUR
1103,385,2025-09-10,113.11,EUR
1104,425,2025-09-10,25.88,usd
1105,145,2025-09-10,101.76,EUR
1106,279,2025-09-10,153.12,EUR
1107,88,10/09/2025,183.53,EUR
1108,241,2025-09-10,12.61,EUR
1109,218,2025-09-10,141.89,EUR
1110,422,2025-09-10,41.41,EUR
1111,73,10/09/2025,172.64,EUR
1112,405,20250911,62.26,EUR
1113,336,20250911,43.66,EUR
1114,79,11/09/2025,178.35,usd
1115,272,2025-09-11,103.65,usd
1116,453,20250911,90.94,EUR
1117,469,20250911,84.55,EUR
1118,228,2025-09-11,159.97,EUR
1118,228,2025-09-11,159.97,EUR
1119,262,2025-09-11,195.67,EUR
1120,458,20250911,7.38,EUR
1121,436,2025-09-12,149.21,EUR
1122,21,20250912,101.26,usd
1123,295,12/09/2025,89.87,usd
1124,385,12/09/2025,223.99,usd
1125,66,12/09/2025,236.87,usd
1126,491,20250912,102.86,EUR
1127,41,2025-09-12,110.52,EUR
1128,9,20250912,41.78,usd
1129,386,2025-09-12,242.32,usd
1130,166,12/09/2025,68.79,usd
1131,175,12/09/2025,14.26,EUR
1132,227,2025-09-12,81.03,EUR
1133,190,12/09/2025,15.08,usd
1134,30,12/09/2025,197.86,usd
1135,340,2025-09-12,235.57,EUR
1136,16,20250912,179.01,EUR
1137,457,2025-09-12,188.18,EUR
1138,416,20250912,237.98,EUR
1139,102,20250912,41.68,EUR
1140,387,20250912,19.31,usd
1141,312,20250912,35.82,EUR
1142,113,2025-09-12,50.7,usd
1143,427,12/09/2025,233.69,EUR
1144,464,12/09/2025,90.45,EUR
1145,112,20250913,13.02,EUR
1146,112,13/09/2025,5.0,EUR
1147,289,13/09/2025,144.46,EUR
1147,289,13/09/2025,144.46,EUR
1148,32,20250913,122.51,EUR
1149,420,13/09/2025,100.97,EUR
1150,18,13/09/2025,150.95,usd
1151,184,14/09/2025,47.84,EUR
1152,392,14/09/2025,122.53,EUR
1153,366,20250914,50.49,EUR
1154,225,2025-09-14,40.06,EUR
1155,423,14/09/2025,212.34,usd
1156,4,15/09/2025,226.46,EUR
1157,23,2025-09-15,199.13,EUR
1158,27,2025-09-15,37.56,EUR
1159,61,15/09/2025,35.94,EUR
1160,398,2025-09-15,41.98,EUR
1161,369,2025-09-15,233.5,EUR
1162,216,15/09/2025,230.16,EUR
1163,401,2025-09-15,158.59,EUR
1164,306,15/09/2025,217.5,usd
1165,98,15/09/2025,166.2,EUR
1166,153,15/09/2025,178.12,EUR
1167,426,20250915,214.36,EUR
1168,494,15/09/2025,165.16,EUR
1169,101,2025-09-15,92.33,usd
1170,230,20250915,239.55,usd
1171,95,15/09/2025,62.89,EUR
1172,363,2025-09-15,88.43,EUR
1173,354,20250915,82.92,usd
1174,218,20250915,61.93,EUR
1175,328,20250915,72.15,usd
1176,141,20250916,40.41,EUR
1177,65,2025-09-16,129.7,EUR
1178,468,20250916,85.82,usd
1179,317,16/09/2025,197.83,EUR
1180,109,2025-09-16,227.13,EUR
1181,497,16/09/2025,241.35,EUR
1182,86,16/09/2025,8.02,usd
1183,96,2025-09-16,189.35,usd
1184,51,16/09/2025,137.22,EUR
1185,216,20250916,247.28,usd
1186,377,16/09/2025,16.93,usd
1187,66,2025-09-16,219.96,usd
1188,389,20250916,124.2,EUR
1189,296,16/09/2025,169.91,EUR
1190,286,16/09/2025,58.47,EUR
1191,284,2025-09-16,214.09,usd
1192,294,2025-09-16,79.33,EUR
1193,468,16/09/2025,168.62,usd
1194,224,20250917,229.76,EUR
1195,322,17/09/2025,8.23,EUR
1196,194,2025-09-17,83.93,EUR
1197,445,20250917,161.15,EUR
1198,479,20250917,91.54,EUR
1199,101,20250917,45.76,EUR
1200,215,20250917,12.49,EUR
1201,217,20250917,226.07,usd
1202,344,20250917,233.79,EUR
1203,180,17/09/2025,19.16,EUR
1204,124,17/09/2025,79.61,EUR
1205,29,17/09/2025,164.99,EUR
1206,169,20250917,197.09,EUR
1207,435,2025-09-17,87.88,usd
1208,239,17/09/2025,235.01,EUR
1209,174,20250917,137.68,EUR
1210,481,2025-09-17,236.39,EUR
1211,215,17/09/2025,15.26,EUR
1212,52,2025-09-17,49.71,EUR
1213,53,17/09/2025,153.03,EUR
1214,324,2025-09-18,62.42,EUR
1215,479,20250918,198.9,EUR
1216,71,2025-09-18,65.58,EUR
1217,13,18/09/2025,176.41,usd
1218,485,20250918,92.33,usd
1219,445,18/09/2025,220.09,usd
1220,33,2025-09-18,193.0,EUR
1221,148,18/09/2025,107.02,usd
1222,263,20250918,192.19,EUR
1223,298,2025-09-18,20.83,EUR
1224,115,20250918,151.45,usd
1225,151,18/09/2025,123.48,EUR
1226,402,2025-09-18,165.28,EUR
1227,300,18/09/2025,72.68,EUR
1228,91,2025-09-18,88.44,EUR
1229,299,2025-09-18,52.65,EUR
1230,327,2025-09-18,73.51,EUR
1231,91,20250918,193.34,usd
1232,198,20250918,95.16,usd
1233,219,18/09/2025,218.77,EUR
1234,444,2025-09-19,213.45,EUR
1235,249,19/09/2025,31.54,usd
1236,407,20250919,116.59,EUR
1237,258,20250919,199.56,EUR
1238,155,2025-09-19,157.09,EUR
1239,40,19/09/2025,223.91,EUR
1240,471,20250919,197.3,EUR
1241,117,19/09/2025,159.64,EUR
1242,396,2025-09-19,118.7,EUR
1243,396,19/09/2025,179.46,usd
1244,360,2025-09-19,237.5,EUR
1245,91,20250919,174.85,EUR
1246,111,19/09/2025,213.87,EUR
1247,211,20250919,242.31,usd
1248,172,2025-09-19,10.67,EUR
1249,70,19/09/2025,190.21,usd
1250,190,19/09/2025,8.93,EUR
1251,170,2025-09-19,132.72,EUR
1252,292,2025-09-19,49.87,EUR
1253,186,20250919,202.16,EUR
1254,122,20250919,195.61,EUR
1255,86,20250919,84.68,EUR
1256,192,20/09/2025,206.81,EUR
1257,236,20/09/2025,146.25,EUR
1258,215,20/09/2025,234.24,EUR
1259,76,20250920,46.82,EUR
1260,246,20/09/2025,133.63,EUR
1261,54,20/09/2025,210.28,usd
1262,396,20250920,135.33,EUR
1262,396,20250920,135.33,EUR
1263,383,20250920,201.57,EUR
1264,477,2025-09-20,71.71,EUR
1265,68,20/09/2025,197.19,EUR
1266,379,20/09/2025,13.5,EUR
1267,468,2025-09-20,140.75,usd
1268,435,2025-09-20,194.27,EUR
1268,435,2025-09-20,194.27,EUR
1269,228,20250920,11.4,EUR
1270,104,2025-09-20,126.45,usd
1271,313,2025-09-21,145.95,EUR
1272,403,20250921,19.97,usd
1273,54,2025-09-21,143.69,EUR
1274,112,21/09/2025,225.24,usd
1275,142,2025-09-21,203.1,EUR
1275,142,2025-09-21,203.1,EUR
1276,451,20250921,51.66,EUR
1277,249,2025-09-21,192.07,EUR
1278,475,2025-09-21,68.41,EUR
1279,487,2025-09-21,94.76,EUR
1280,208,20250921,225.57,EUR
1281,448,21/09/2025,120.31,usd
1282,456,20250921,69.89,EUR
1283,398,2025-09-21,189.34,EUR
1284,88,21/09/2025,208.96,EUR
1285,258,20250921,69.89,usd
1286,393,20250921,20.78,EUR
1287,239,20250921,164.76,EUR
1288,468,21/09/2025,135.55,EUR
1289,265,20250922,15.8,EUR
1290,123,22/09/2025,106.16,EUR
1291,326,20250922,246.5,EUR
1292,86,2025-09-22,194.01,usd
1293,421,22/09/2025,134.62,EUR
1294,327,2025-09-22,248.36,EUR
1295,347,23/09/2025,211.76,EUR
1296,187,2025-09-23,112.89,EUR
1297,165,2025-09-23,139.68,EUR
1298,16,2025-09-23,246.48,EUR
1299,181,20250923,138.49,EUR
1300,288,23/09/2025,9.92,EUR
1301,266,2025-09-23,111.67,EUR
1302,42,23/09/2025,111.94,EUR
1303,171,23/09/2025,19.36,EUR
1304,348,20250923,63.87,EUR
1305,430,20250923,212.9,EUR
1305,430,20250923,212.9,EUR
1306,302,20250923,120.01,EUR
1307,93,20250923,238.8,usd
1308,174,20250923,248.41,EUR
1309,460,2025-09-23,211.29,usd
1310,354,23/09/2025,221.24,EUR
1311,84,2025-09-23,78.77,usd
1312,393,2025-09-23,115.38,EUR
1313,457,20250923,182.15,EUR
1314,335,23/09/2025,92.41,EUR
1315,152,2025-09-23,44.43,EUR
1316,335,2025-09-23,111.28,EUR
1317,475,20250923,18.54,EUR
1318,185,23/09/2025,44.32,EUR
1319,373,20250923,62.34,EUR
1319,373,20250923,62.34,EUR
1320,304,24/09/2025,205.17,usd
1321,53,2025-09-24,223.35,usd
1322,192,2025-09-24,112.03,EUR
1323,13,24/09/2025,175.45,usd
1324,171,20250924,51.27,usd
1325,224,24/09/2025,17.1,usd
1326,153,20250924,154.18,usd
1327,273,24/09/2025,233.22,EUR
1328,473,24/09/2025,180.97,usd
1329,412,2025-09-24,120.16,EUR
1330,190,24/09/2025,149.43,EUR
1331,288,24/09/2025,126.13,EUR
1332,447,2025-09-24,33.89,EUR
1333,368,2025-09-25,18.63,EUR
1334,354,20250925,35.36,EUR
1335,242,25/09/2025,7.7,EUR
1336,289,25/09/2025,150.33,EUR
1337,60,25/09/2025,31.4,EUR
1338,302,25/09/2025,107.2,EUR
1339,306,20250925,78.95,EUR
1340,268,2025-09-25,135.97,EUR
1341,268,20250925,9.89,EUR
1342,246,20250925,164.34,EUR
1343,42,20250925,230.36,EUR
1344,412,2025-09-25,35.65,EUR
1345,201,25/09/2025,171.93,EUR
1346,215,2025-09-25,204.21,EUR
1347,76,20250925,107.66,EUR
1348,464,20250925,126.47,EUR
1349,478,25/09/2025,157.24,EUR
1350,129,26/09/2025,29.15,EUR
1351,67,26/09/2025,104.66,EUR
1352,21,20250926,62.48,EUR
1353,129,2025-09-26,201.53,EUR
1354,29,26/09/2025,28.5,EUR
1355,247,26/09/2025,15.93,usd
1356,236,20250926,132.4,EUR
1357,196,2025-09-26,232.2,EUR
1358,495,2025-09-26,164.57,usd
1359,282,20250926,17.8,EUR
1360,422,20250926,10.21,EUR
1361,35,2025-09-26,156.87,EUR
1362,312,2025-09-26,133.81,EUR
1363,172,2025-09-27,201.2,EUR
1364,75,2025-09-27,12.95,usd
1365,395,27/09/2025,172.91,EUR
1366,145,27/09/2025,70.83,EUR
1367,78,20250927,121.86,EUR
1368,351,27/09/2025,67.52,EUR
1369,393,2025-09-27,136.87,usd
1370,392,27/09/2025,73.36,EUR
1371,433,2025-09-27,162.79,EUR
1372,211,27/09/2025,206.35,EUR
1373,291,20250927,20.84,EUR
1374,41,2025-09-27,15.31,usd
1375,300,20250927,240.37,usd
1376,12,20250927,17.76,usd
1377,22,2025-09-27,107.69,EUR
1378,237,27/09/2025,193.24,usd
1379,461,27/09/2025,124.94,usd
1380,360,20250927,26.93,EUR
1381,70,27/09/2025,24.35,EUR
1382,185,27/09/2025,62.65,EUR
1383,380,20250927,249.72,EUR
1384,484,20250927,136.99,EUR
1384,484,20250927,136.99,EUR
1385,74,27/09/2025,30.55,EUR
1386,12,27/09/2025,128.94,EUR
1387,130,27/09/2025,181.56,EUR
1388,14,20250928,235.25,usd
1389,227,20250928,248.82,EUR
1390,222,20250928,242.19,usd
1391,473,20250928,167.28,EUR
1392,424,20250928,18.51,EUR
1393,346,20250928,205.19,EUR
1394,281,28/09/2025,215.44,EUR
1395,285,28/09/2025,41.88,EUR
1396,6,2025-09-28,209.93,EUR
1397,298,2025-09-28,84.11,EUR
1398,19,20250928,212.71,EUR
1399,424,28/09/2025,222.56,EUR
1400,469,2025-09-28,109.25,EUR
1401,468,28/09/2025,221.37,EUR
1402,457,28/09/2025,246.73,EUR
1403,91,2025-09-28,25.54,EUR
1404,20,28/09/2025,179.34,EUR
1405,249,28/09/2025,191.93,EUR
1406,34,20250928,182.18,EUR
1407,356,20250928,234.65,usd
1408,8,28/09/2025,247.27,usd
1409,178,2025-09-28,71.35,usd
1410,451,2025-09-28,189.91,usd
1411,346,20250928,232.9,usd
1412,445,2025-09-29,179.7,EUR
1413,236,20250929,47.79,EUR
1414,96,20250929,235.25,EUR
1415,199,20250929,36.52,usd
1416,233,29/09/2025,171.88,EUR
1417,58,20250929,77.35,EUR
1418,246,2025-09-29,117.57,EUR
1418,246,2025-09-29,117.57,EUR
1419,182,2025-09-29,225.35,EUR
1420,436,2025-09-29,55.51,EUR
1421,246,2025-09-29,93.63,usd
1422,48,2025-09-29,177.03,usd
1423,43,20250929,65.97,EUR
1424,242,29/09/2025,47.79,usd
1425,449,29/09/2025,238.84,EUR
1426,388,29/09/2025,225.74,usd
1427,170,20250929,89.36,EUR
1428,495,2025-09-29,239.12,EUR
1429,89,2025-09-29,159.52,EUR
1430,424,20250929,203.12,EUR
1431,393,20250929,182.58,EUR
1432,85,20250929,76.57,EUR
1433,105,29/09/2025,151.56,EUR
1434,249,20250929,49.83,EUR
1435,72,20250929,66.4,EUR
1436,265,20250929,157.91,EUR
1437,382,2025-09-30,29.11,EUR
1438,380,2025-09-30,220.41,EUR
1439,333,2025-09-30,239.28,EUR
1440,74,30/09/2025,74.9,EUR
1440,74,30/09/2025,74.9,EUR
1441,390,20250930,94.27,usd
1442,269,2025-09-30,177.15,EUR
1443,286,20251001,15.68,EUR
1444,189,20251001,188.99,usd
1445,4,2025-10-01,115.94,EUR
1446,169,01/10/2025,145.93,usd
1447,294,2025-10-01,25.79,usd
1448,121,01/10/2025,247.45,EUR
1449,165,2025-10-01,35.86,EUR
1450,272,20251001,12.56,usd
1451,299,20251001,189.36,EUR
1452,212,01/10/2025,88.49,EUR
1453,206,01/10/2025,11.52,usd
1454,141,2025-10-01,171.22,EUR
1455,235,20251001,66.87,EUR
1456,450,2025-10-01,229.89,usd
1457,425,2025-10-02,201.85,EUR
1458,204,2025-10-02,29.76,EUR
1459,226,2025-10-02,246.15,usd
1460,199,2025-10-02,239.65,EUR
1461,402,02/10/2025,97.92,EUR
1462,55,20251002,34.5,usd
1463,151,2025-10-02,180.71,EUR
1464,360,20251002,247.44,EUR
1465,153,2025-10-02,221.41,EUR
1466,133,02/10/2025,35.89,EUR
1467,9,20251002,145.16,EUR
1468,19,2025-10-02,171.84,EUR
1469,353,02/10/2025,177.52,EUR
1470,253,2025-10-02,45.55,EUR
1471,399,02/10/2025,201.11,EUR
1472,341,2025-10-02,132.99,EUR
1473,263,2025-10-02,207.54,usd
1474,488,02/10/2025,227.06,EUR
1475,184,02/10/2025,210.11,EUR
1476,358,2025-10-02,46.91,usd
1477,223,2025-10-02,221.63,EUR
1478,327,2025-10-02,146.92,usd
1479,54,2025-10-02,125.27,EUR
1480,409,02/10/2025,212.93,EUR
1481,213,20251002,112.7,EUR
1482,339,03/10/2025,12.42,EUR
1483,339,20251003,9.08,usd
1484,422,2025-10-03,183.85,usd
1485,110,20251003,49.56,EUR
1486,150,20251003,205.94,EUR
1487,498,2025-10-03,18.39,usd
1488,253,20251003,191.13,EUR
1489,418,03/10/2025,114.96,usd
1490,250,20251004,204.66,EUR
1491,20,04/10/2025,230.99,EUR
1492,452,04/10/2025,145.86,EUR
1493,13,04/10/2025,159.04,EUR
1494,215,04/10/2025,21.38,EUR
1495,119,20251004,121.49,usd
1496,207,04/10/2025,142.83,usd
1497,401,20251004,11.99,EUR
1498,177,2025-10-04,108.7,usd
1499,190,2025-10-04,94.03,EUR
1500,1,2025-10-04,194.76,EUR
1501,246,20251004,74.74,EUR
1502,341,20251004,232.42,usd
1503,279,04/10/2025,224.04,EUR
1503,279,04/10/2025,224.04,EUR
1504,282,2025-10-05,104.98,EUR
1505,496,05/10/2025,131.24,EUR
1506,162,2025-10-05,22.83,EUR
1507,496,2025-10-05,192.69,EUR
1508,428,05/10/2025,18.59,EUR
1509,125,2025-10-05,21.14,usd
1510,485,20251005,236.16,usd
1511,353,20251005,133.09,EUR
1512,99,2025-10-05,235.46,usd
1513,356,2025-10-05,72.93,usd
1513,356,2025-10-05,72.93,usd
1514,110,05/10/2025,178.67,EUR
1515,447,05/10/2025,145.56,EUR
1516,419,05/10/2025,18.05,EUR
1517,360,2025-10-05,182.87,EUR
1518,422,20251005,32.28,EUR
1519,248,2025-10-05,103.99,EUR
1520,46,20251006,37.59,EUR
1521,134,2025-10-06,224.12,EUR
1522,285,2025-10-06,134.35,EUR
1523,454,2025-10-06,52.62,usd
1524,440,06/10/2025,128.53,EUR
1525,264,20251006,175.18,EUR
1526,283,2025-10-06,200.56,usd
1527,277,20251006,102.13,EUR
1528,85,06/10/2025,141.52,usd
1529,218,07/10/2025,117.16,EUR
1530,448,20251007,139.66,EUR
1531,473,20251007,179.23,EUR
1532,176,07/10/2025,161.45,EUR
1533,273,07/10/2025,84.85,EUR
1534,258,20251007,211.32,EUR
1535,94,2025-10-07,244.38,EUR
1536,140,20251007,129.05,usd
1537,317,2025-10-07,140.26,EUR
1538,129,2025-10-07,110.01,usd
1539,457,2025-10-07,189.2,usd
1540,444,07/10/2025,236.3,EUR
1541,417,2025-10-07,248.3,EUR
1542,193,2025-10-07,33.96,EUR
1543,134,20251007,72.65,EUR
1544,449,2025-10-08,8.83,EUR
1545,26,2025-10-08,51.65,EUR
1546,376,20251008,89.4,usd
1547,422,2025-10-08,96.69,EUR
1548,298,2025-10-08,229.49,EUR
1549,9,2025-10-08,197.0,EUR
1550,441,20251008,11.17,EUR
1551,324,20251008,137.6,EUR
1552,406,20251008,238.0,usd
1552,406,20251008,238.0,usd
1553,22,08/10/2025,49.79,EUR
1554,239,08/10/2025,102.83,usd
1555,498,2025-10-08,160.41,EUR
1556,232,08/10/2025,86.08,EUR
1557,305,08/10/2025,235.29,EUR
1558,146,08/10/2025,82.57,EUR
1559,300,08/10/2025,115.27,EUR
1560,208,08/10/2025,195.87,usd
1561,495,08/10/2025,98.05,EUR
1562,274,08/10/2025,115.18,usd
1563,47,2025-10-08,119.29,usd
1564,353,20251008,9.64,EUR
1565,493,08/10/2025,76.55,usd
1566,11,2025-10-08,138.56,EUR
1566,11,2025-10-08,138.56,EUR
1567,48,08/10/2025,63.09,EUR
1568,306,20251008,168.68,EUR
1569,480,20251009,157.52,EUR
1570,54,2025-10-09,224.28,EUR
1571,202,20251009,164.41,EUR
1572,108,09/10/2025,131.52,EUR
1573,51,2025-10-09,61.97,EUR
1574,279,20251009,57.32,EUR
1575,249,09/10/2025,23.85,EUR
1576,91,2025-10-09,66.16,EUR
1577,3,09/10/2025,92.1,usd
1578,118,20251009,7.33,EUR
1579,290,20251009,206.05,EUR
1580,244,09/10/2025,152.84,usd
1581,113,09/10/2025,102.68,usd
1582,146,20251009,160.5,EUR
1583,149,20251009,24.72,EUR
1583,149,20251009,24.72,EUR
1584,209,20251009,170.76,EUR
1585,234,10/10/2025,231.22,usd
1586,293,10/10/2025,151.89,EUR
1587,254,10/10/2025,171.9,EUR
1588,344,2025-10-10,94.77,usd
1589,22,20251010,52.21,usd
1590,106,2025-10-10,230.58,usd
1591,95,10/10/2025,54.28,usd
1592,451,2025-10-10,87.17,EUR
1593,308,10/10/2025,30.16,usd
1594,112,2025-10-10,113.04,EUR
1595,487,2025-10-10,168.9,EUR
1596,396,2025-10-10,46.5,EUR
1597,497,10/10/2025,128.09,EUR
1598,438,2025-10-10,192.22,EUR
1599,211,2025-10-10,187.71,EUR
1600,493,2025-10-10,175.39,usd
1601,155,10/10/2025,13.5,EUR
1602,75,10/10/2025,139.21,EUR
1603,201,2025-10-10,83.7,EUR
1604,101,2025-10-11,105.66,EUR
1605,179,2025-10-11,244.91,EUR
1606,455,11/10/2025,242.86,EUR
1607,214,11/10/2025,116.19,usd
1608,169,2025-10-11,38.25,EUR
1609,142,2025-10-11,144.87,EUR
1610,439,20251011,217.42,usd
1611,406,20251011,69.62,EUR
1612,466,2025-10-11,11.12,EUR
1613,264,20251011,106.01,EUR
1614,393,20251011,217.05,usd
1615,140,20251011,197.36,usd
1616,396,2025-10-11,52.63,EUR
1617,333,20251011,83.96,EUR
1618,108,20251011,135.14,usd
1619,495,2025-10-11,22.78,EUR
1620,237,2025-10-11,113.66,EUR
1621,13,2025-10-11,155.05,EUR
1622,468,11/10/2025,139.4,EUR
1622,468,11/10/2025,139.4,EUR
1623,401,20251011,40.2,EUR
1624,384,11/10/2025,22.66,EUR
1625,241,2025-10-11,128.42,EUR
1626,130,11/10/2025,28.26,EUR
1627,275,20251011,109.0,EUR
